Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_01005_0402Metric",45.300000,-27.640000,90.000000,bottom
"C2","22u","C_0805_2012Metric",52.500000,-28.740000,90.000000,bottom
"C3","22u","C_0805_2012Metric",55.060000,-28.740000,90.000000,bottom
"C4","1u","C_0603_1608Metric",48.130000,-28.520000,90.000000,bottom
"C5","10u","C_0603_1608Metric",50.190000,-28.520000,90.000000,bottom
"C6","100n","C_01005_0402Metric",46.500000,-27.640000,90.000000,bottom
"D4","ESD3.3","D_SOD-923",45.350000,-10.350000,90.000000,bottom
"D74","WS2812B","WS2812_2020",2.800000,-2.600000,0.000000,bottom
"D75","WS2812B","WS2812_2020",7.300000,-2.600000,0.000000,bottom
"D76","WS2812B","WS2812_2020",11.800000,-2.600000,0.000000,bottom
"D77","WS2812B","WS2812_2020",16.300000,-2.600000,0.000000,bottom
"D78","WS2812B","WS2812_2020",20.800000,-2.600000,0.000000,bottom
"D79","WS2812B","WS2812_2020",25.300000,-2.600000,0.000000,bottom
"D80","WS2812B","WS2812_2020",29.800000,-2.600000,0.000000,bottom
"D81","WS2812B","WS2812_2020",34.300000,-2.600000,0.000000,bottom
"D82","WS2812B","WS2812_2020",2.800000,-7.100000,180.000000,bottom
"D83","WS2812B","WS2812_2020",7.300000,-7.100000,180.000000,bottom
"D84","WS2812B","WS2812_2020",11.800000,-7.100000,180.000000,bottom
"D85","WS2812B","WS2812_2020",16.300000,-7.100000,180.000000,bottom
"D86","WS2812B","WS2812_2020",20.800000,-7.100000,180.000000,bottom
"D87","WS2812B","WS2812_2020",25.300000,-7.100000,180.000000,bottom
"D88","WS2812B","WS2812_2020",29.800000,-7.100000,180.000000,bottom
"D89","WS2812B","WS2812_2020",34.300000,-7.100000,180.000000,bottom
"D90","WS2812B","WS2812_2020",2.800000,-11.600000,0.000000,bottom
"D91","WS2812B","WS2812_2020",7.300000,-11.600000,0.000000,bottom
"D92","WS2812B","WS2812_2020",11.800000,-11.600000,0.000000,bottom
"D93","WS2812B","WS2812_2020",16.300000,-11.600000,0.000000,bottom
"D94","WS2812B","WS2812_2020",20.800000,-11.600000,0.000000,bottom
"D95","WS2812B","WS2812_2020",25.300000,-11.600000,0.000000,bottom
"D96","WS2812B","WS2812_2020",29.800000,-11.600000,0.000000,bottom
"D97","WS2812B","WS2812_2020",34.300000,-11.600000,0.000000,bottom
"D98","WS2812B","WS2812_2020",2.800000,-16.100000,180.000000,bottom
"D99","WS2812B","WS2812_2020",7.300000,-16.100000,180.000000,bottom
"D100","WS2812B","WS2812_2020",11.800000,-16.100000,180.000000,bottom
"D101","WS2812B","WS2812_2020",16.300000,-16.100000,180.000000,bottom
"D102","WS2812B","WS2812_2020",20.800000,-16.100000,180.000000,bottom
"D103","WS2812B","WS2812_2020",25.300000,-16.100000,180.000000,bottom
"D104","WS2812B","WS2812_2020",29.800000,-16.100000,180.000000,bottom
"D105","WS2812B","WS2812_2020",34.300000,-16.100000,180.000000,bottom
"D106","WS2812B","WS2812_2020",2.800000,-20.600000,0.000000,bottom
"D107","WS2812B","WS2812_2020",7.300000,-20.600000,0.000000,bottom
"D108","WS2812B","WS2812_2020",11.800000,-20.600000,0.000000,bottom
"D109","WS2812B","WS2812_2020",16.300000,-20.600000,0.000000,bottom
"D110","WS2812B","WS2812_2020",20.800000,-20.600000,0.000000,bottom
"D111","WS2812B","WS2812_2020",25.300000,-20.600000,0.000000,bottom
"D112","WS2812B","WS2812_2020",29.800000,-20.600000,0.000000,bottom
"D113","WS2812B","WS2812_2020",34.300000,-20.600000,0.000000,bottom
